x,y,anomaly
18.4958597,13.76652679,0
18.50107204,13.82722515,0
18.4059498,13.86897607,0
18.44457157,13.91070109,0
18.41847018,13.93391689,0
18.35926268,13.97304479,0
18.32057436,14.05787697,0
18.38510721,14.10959092,0
18.3421206,14.09138717,0
18.42464377,14.12841004,0
18.38668716,14.16643227,0
18.41883516,14.12131252,0
18.30968522,14.14787555,0
18.37651213,14.1776102,0
18.37456253,14.17670782,0
18.4121414,14.13338543,0
18.40807507,14.13733353,0
18.39148494,14.1597472,0
18.37625857,14.16886817,0
18.37306455,14.16923863,0
18.33928159,14.23018055,0
18.41946262,14.20414466,0
18.30894092,14.27713554,0
18.29651069,14.28989317,0
18.3663225,14.28331955,0
18.2853009,14.25296792,0
18.31493863,14.14722455,0
18.4168271,14.1306452,0
18.356074,14.06046899,0
18.42032255,13.93792119,0
18.50028108,13.88923496,0
18.5403058,13.80992994,0
18.50197399,13.83905574,0
18.56022508,13.80412194,0
18.523202,13.82823559,0
18.50111257,13.73643002,0
18.54283386,13.66787719,0
18.63333666,13.63403896,0
18.65126227,13.57926004,0
18.63907855,13.54796635,0
18.65813325,13.56253245,0
18.59489131,13.53152761,0
18.61448599,13.50288819,0
18.59468967,13.47527848,0
18.62199935,13.47700429,0
18.56474008,13.42733543,0
18.51468456,13.42260696,0
18.5670778,13.38337811,0
18.50408154,13.35063252,0
18.46511452,13.41746581,0
18.53358756,13.376386,0
18.46330156,13.44220371,0
18.37547182,13.4534368,0
18.40949124,13.37659557,0
18.33242567,13.4120445,0
18.2438066,13.43226654,0
18.16298927,13.4475482,0
18.17391206,13.30415261,0
18.12808349,13.28936816,0
18.0655226,13.28157081,0
18.07381887,13.21436357,0
17.88078063,13.21776055,0
17.82164435,13.23664116,0
17.69400513,13.30318631,0
17.64867451,13.2371236,0
17.511133,13.20203903,0
17.51446779,13.20923431,0
16.7695814,13.55599781,0
16.54658327,13.81644334,0
16.50773267,13.85217761,0
16.4593428,13.90438519,0
15.73190832,14.3152054,0
15.60131877,14.32996953,0
15.61185715,14.33140714,0
15.46670955,14.26207749,0
15.31766057,14.2957508,0
15.27267612,14.28694042,0
15.16264457,14.27986164,0
15.0928898,14.46493402,0
14.98517079,14.48264763,0
14.89810311,14.55604623,0
14.82573487,14.55663735,0
14.64871393,14.68661731,0
14.53626068,14.78245322,0
14.44873962,14.7893957,0
14.34035429,14.87184701,0
14.32476419,14.96438739,0
14.22166737,14.98771787,0
14.13014278,14.88574065,0
14.02599503,14.994894,0
14.03029169,15.04382587,0
13.8672138,15.05771632,0
14.47119971,14.73881387,0
14.54493507,14.53502335,0
14.43562152,14.50345725,0
14.34064856,14.46493276,0
14.9104873,14.05637249,0
14.85564893,13.99084824,0
14.71273438,14.04687869,0
14.67112696,14.00889922,0
14.65080983,14.00720272,0
14.51070561,14.01797952,0
14.50509865,13.9867914,0
14.43785385,13.89268484,0
14.35650271,13.88494493,0
14.27236131,13.89976762,0
14.22155962,13.86249429,0
14.2064738,13.82331017,0
14.15785743,13.78883529,0
14.11933536,13.77735352,0
14.05764302,13.67890324,0
13.98253611,13.70200045,0
13.95118132,13.67282847,0
13.97491495,13.74214802,0
13.97488818,13.72719018,0
13.9338787,13.71767287,0
13.94981556,13.66706588,0
13.8837548,13.62179339,0
13.80365967,13.65611824,0
13.76624904,13.66908787,0
13.76692317,13.62206081,0
13.73609735,13.67360243,0
13.7475168,13.7458397,0
13.9967843,13.37004758,0
14.01851655,13.39155364,0
13.99058149,13.42354925,0
14.00950075,13.43536903,0
13.97485508,13.56081823,0
13.95308021,13.55274167,0
13.96581305,13.59432753,0
13.98205521,13.62361386,0
13.99176757,13.62356084,0
13.96672526,13.7323907,0
13.95114975,13.76841548,0
13.93414394,13.85966707,0
13.9642599,13.9471014,0
13.98755564,13.93898407,0
13.95399484,14.04866348,0
13.95153382,14.03260136,0
13.91438748,14.02588147,0
13.87612648,14.12747012,0
13.84990225,14.26188699,0
13.85376314,14.27777809,0
13.83307774,14.3090651,0
13.80817166,14.37939654,0
13.81132256,14.42192847,0
13.82835956,14.37698805,0
13.77671183,14.56358887,0
13.48637384,14.98322646,0
13.46513528,15.03638652,0
13.43394082,15.13964735,0
13.40317175,15.26974067,0
13.42294535,15.2036939,0
13.39652719,15.2855886,0
13.35704633,15.39903881,0
13.34363963,15.43554667,0
13.32134176,15.47582897,0
13.30792897,15.56776764,0
13.29867223,15.65268433,0
13.32095143,15.55602046,0
13.29827457,15.60197135,0
13.26367009,15.73589076,0
13.25419241,15.74690031,0
